sub_id	list	species_code	Anthropogenic materials present? u=unsure (bad picture)   n=No  y=Yes	Picture orientation: t=top  b=bottom  s=side  t/s=top/side  b/s=bottom/side	Where are the AMs located? o=outer part of nest  l=lining  o/l=Both	attempt_id	sumphotos	user_id	loc_id	latitude	longitude	subnational1_code	height_m	substrate_code	habitat_code_1	habitat_code_2	proj_period_id	outcome_code_list	first_lay_dt	hatch_dt	fledge_dt	clutch_size_host_atleast	young_host_total_atleast	young_host_fledged_atleast	eggs_host_unh_atleast	obs_dt	eggs_host_atleast	eggs_host_atmost	young_host_live_atleast	young_host_live_atmost	young_host_dead_atleast	young_host_dead_atmost	nest_status_code	mgmt_activity_code_list	adult_activity_code_list	young_host_max_devel	eggs_parasite_atleast	eggs_parasite_atmost	young_parasite_live_atleast	young_parasite_live_atmost	young_parasite_dead_atleast	young_parasite_dead_atmost
S57674623		grycat				A1355513	1	USER1346602	L9498092	44.20944	-69.077927	US-ME	0.6096	busshr	NW-ry	NW-ry	NW_2019	s1		15JUN2019:00:00:00.000000	24JUN2019:00:00:00.000000			3		24JUN2019:00:00:00.000000			3				cn	no	va	fy						
S57658939		grycat				A1356226	5	USER1392788	L9528284	42.534658	-90.727912	US-IA	1.524	busshr	NW-ry	NW-ry	NW_2019	s1	23JUN2019:00:00:00.000000	06JUL2019:00:00:00.000000	15JUL2019:00:00:00.000000	3	3	3	0	23JUN2019:00:00:00.000000	1	999999999	1	999999999	1	999999999	cn	no	ra	no	1	999999999	1	999999999	1	999999999
S57740804	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/27/DSCF2325.png	grycat	y	t/s	o	A1356226	5	USER1392788	L9528284	42.534658	-90.727912	US-IA	1.524	busshr	NW-ry	NW-ry	NW_2019	s1	23JUN2019:00:00:00.000000	06JUL2019:00:00:00.000000	15JUL2019:00:00:00.000000	3	3	3	0	27JUN2019:00:00:00.000000	3		0		0		cn	no	aa	no	0		0		0	
S57821508	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/30/DSCF2451.jpg, https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/30/DSCF2447.png	grycat	n, u	t/s, s		A1356226	5	USER1392788	L9528284	42.534658	-90.727912	US-IA	1.524	busshr	NW-ry	NW-ry	NW_2019	s1	23JUN2019:00:00:00.000000	06JUL2019:00:00:00.000000	15JUL2019:00:00:00.000000	3	3	3	0	30JUN2019:00:00:00.000000	3		0		0		cn	no	aa	no	0		0		0	
S58105034	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/07/11/DSCF2681.jpg	grycat	y	t/s	o	A1356226	5	USER1392788	L9528284	42.534658	-90.727912	US-IA	1.524	busshr	NW-ry	NW-ry	NW_2019	s1	23JUN2019:00:00:00.000000	06JUL2019:00:00:00.000000	15JUL2019:00:00:00.000000	3	3	3	0	11JUL2019:00:00:00.000000	0		3		0		cn	no	va	py	0		0		0	
S58179320	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/07/14/DSCF2760.jpg	grycat	y	t/s	o	A1356226	5	USER1392788	L9528284	42.534658	-90.727912	US-IA	1.524	busshr	NW-ry	NW-ry	NW_2019	s1	23JUN2019:00:00:00.000000	06JUL2019:00:00:00.000000	15JUL2019:00:00:00.000000	3	3	3	0	14JUL2019:00:00:00.000000	0		3		0		cn	no	va	fy	0		0		0	
S68348457	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/03/20200503172325.jpg	grycat	y	t	o	A1392505	1	USER310314	L11326090	39.973268	-75.751295	US-PA	1.8288	busshr	NW-ry	NW-ry	NW_2020	f3	03MAY2020:00:00:00.000000			3	0	0	3	03MAY2020:00:00:00.000000	3		0		0		cn	no	no	no	0		0		0	
S69616177		grycat				A1392505	1	USER310314	L11326090	39.973268	-75.751295	US-PA	1.8288	busshr	NW-ry	NW-ry	NW_2020	f3	03MAY2020:00:00:00.000000			3	0	0	3	05MAY2020:00:00:00.000000	2		0		0		cn	no	va	no	0		0		0	
S69616283		grycat				A1392505	1	USER310314	L11326090	39.973268	-75.751295	US-PA	1.8288	busshr	NW-ry	NW-ry	NW_2020	f3	03MAY2020:00:00:00.000000			3	0	0	3	08MAY2020:00:00:00.000000	0		0		0		cn	no	no	no	0		0		0	
S68548684		grycat				A1393690	2	USER275047	L11355599	39.025762	-77.106021	US-MD	1.2192	busshr	NW-for	NW-ry	NW_2020	f6	07MAY2020:00:00:00.000000			3	0	0	3	04MAY2020:00:00:00.000000	0		0		0		in	no	ba	no	0		0		0	
S68548740		grycat				A1393690	2	USER275047	L11355599	39.025762	-77.106021	US-MD	1.2192	busshr	NW-for	NW-ry	NW_2020	f6	07MAY2020:00:00:00.000000			3	0	0	3	05MAY2020:00:00:00.000000	1	999999999	0		0		cn	no	no	no	1	999999999	0		0	
S68548741		grycat				A1393690	2	USER275047	L11355599	39.025762	-77.106021	US-MD	1.2192	busshr	NW-for	NW-ry	NW_2020	f6	07MAY2020:00:00:00.000000			3	0	0	3	06MAY2020:00:00:00.000000	1	999999999	0		0		cn	no	no	no	1	999999999	0		0	
S68548742	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/07/0U0A0995.JPG	grycat	n	s		A1393690	2	USER275047	L11355599	39.025762	-77.106021	US-MD	1.2192	busshr	NW-for	NW-ry	NW_2020	f6	07MAY2020:00:00:00.000000			3	0	0	3	07MAY2020:00:00:00.000000	1	999999999	0		0		cn	no	ra	no	1	999999999	0		0	
S68595207		grycat				A1393690	2	USER275047	L11355599	39.025762	-77.106021	US-MD	1.2192	busshr	NW-for	NW-ry	NW_2020	f6	07MAY2020:00:00:00.000000			3	0	0	3	08MAY2020:00:00:00.000000	1	999999999	0		0		cn	no	ra	no	1	999999999	0		0	
S68704342	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/09/IMG-9197.jpg	grycat	y	t	o/l	A1393690	2	USER275047	L11355599	39.025762	-77.106021	US-MD	1.2192	busshr	NW-for	NW-ry	NW_2020	f6	07MAY2020:00:00:00.000000			3	0	0	3	09MAY2020:00:00:00.000000	3		0		0		cn	no	no	no	0		0		0	
S68864498		grycat				A1393690	2	USER275047	L11355599	39.025762	-77.106021	US-MD	1.2192	busshr	NW-for	NW-ry	NW_2020	f6	07MAY2020:00:00:00.000000			3	0	0	3	10MAY2020:00:00:00.000000	0		0		0		dn	no	no	no	0		0		0	
S69305741	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/18/fskr21.jpg	grycat	u	s		A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	18MAY2020:00:00:00.000000	0		0		0		in	no	ba							
S69430072	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/21/gkpuof.jpg	grycat	y	t	o/l	A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	21MAY2020:17:08:54.000000	0		0		0		cn	no	va							
S69573612	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/24/2n5u2v.jpg	grycat	y	t	o/l	A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	24MAY2020:13:55:17.000000	1		0		0		cn	no	va							
S69770991	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/28/bre8nc.jpg	grycat	y	t	o/l	A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	28MAY2020:19:58:34.000000	4		0		0		cn	no	va	no						
S69994141	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/02/himvb7.jpg	grycat	y	t	o/l	A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	02JUN2020:22:25:33.000000	4		0		0		cn	no	va	no						
S70170521		grycat				A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	07JUN2020:14:45:38.000000	4		0		0		cn	no	va							
S70288228		grycat				A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	10JUN2020:18:08:17.000000	0		1	999999999	0		cn	no	va	ny						
S70322244		grycat				A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	11JUN2020:17:24:16.000000	0		4		0		cn	no	fa	ny						
S70417544		grycat				A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	14JUN2020:08:55:38.000000	0		4		0		cn	no	fa	ny						
S70470930		grycat				A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	15JUN2020:14:04:01.000000	0		4		0		cn	no	fa	py						
S70554402		grycat				A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	17JUN2020:22:44:16.000000	0		4		0		cn	no	fa	py						
S70593370	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/18/iur4u3.jpg	grycat	y	t/s	o/l	A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	18JUN2020:00:00:00.000000	0		4		0		cn	no	fa	fy						
S70611144		grycat				A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	19JUN2020:18:42:47.000000	0		4		0		cn	no	fa	fy						
S70654112		grycat				A1396537	6	USER1388299	L11488191	43.246189	-70.872626	US-NH	1.3716	busshr			NW_2020	s1	24MAY2020:00:00:00.000000	10JUN2020:00:00:00.000000	20JUN2020:00:00:00.000000	4	4	4	0	20JUN2020:22:00:31.000000	0		0		0		cn	no	no	no						
S69752193	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/17/20200517163956.jpg	grycat	n	t/s		A1399390	6	USER1066210	L11568107	40.830393	-77.630132	US-PA	0.5	busshr	NW-oth	NW-ry	NW_2020	f3	20MAY2020:00:00:00.000000	02JUN2020:00:00:00.000000		4	0	0	4	17MAY2020:00:00:00.000000	0								ba							
S69752243	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/20/20200520155915.jpg	grycat	n	t/s		A1399390	6	USER1066210	L11568107	40.830393	-77.630132	US-PA	0.5	busshr	NW-oth	NW-ry	NW_2020	f3	20MAY2020:00:00:00.000000	02JUN2020:00:00:00.000000		4	0	0	4	20MAY2020:00:00:00.000000	1								va							
S69752244	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/23/20200523131306.jpg	grycat	n	t/s		A1399390	6	USER1066210	L11568107	40.830393	-77.630132	US-PA	0.5	busshr	NW-oth	NW-ry	NW_2020	f3	20MAY2020:00:00:00.000000	02JUN2020:00:00:00.000000		4	0	0	4	23MAY2020:00:00:00.000000	4								aa							
S69752284	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/27/20200527141920.jpg	grycat	n	t/s		A1399390	6	USER1066210	L11568107	40.830393	-77.630132	US-PA	0.5	busshr	NW-oth	NW-ry	NW_2020	f3	20MAY2020:00:00:00.000000	02JUN2020:00:00:00.000000		4	0	0	4	27MAY2020:00:00:00.000000	4								aa							
S70256068	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/30/20200530163605.jpg	grycat	n	t/s		A1399390	6	USER1066210	L11568107	40.830393	-77.630132	US-PA	0.5	busshr	NW-oth	NW-ry	NW_2020	f3	20MAY2020:00:00:00.000000	02JUN2020:00:00:00.000000		4	0	0	4	30MAY2020:00:00:00.000000	0								no							
S70256098	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/02/20200602161546.jpg	grycat	n	t/s		A1399390	6	USER1066210	L11568107	40.830393	-77.630132	US-PA	0.5	busshr	NW-oth	NW-ry	NW_2020	f3	20MAY2020:00:00:00.000000	02JUN2020:00:00:00.000000		4	0	0	4	02JUN2020:00:00:00.000000	0								no							
S69798516	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/29/ks44fl.jpg	grycat	N/A	N/A		A1399693	1	USER1088235	L7605256	42.257728	-71.269511	US-MA	1.524	nesbox	NW-ag	NW-ag	NW_2020	f6								29MAY2020:13:17:26.000000	0						cn		no							
S69980904		grycat				A1399693	1	USER1088235	L7605256	42.257728	-71.269511	US-MA	1.524	nesbox	NW-ag	NW-ag	NW_2020	f6								02JUN2020:16:08:46.000000	0						cn		va							
S70162393		grycat				A1399693	1	USER1088235	L7605256	42.257728	-71.269511	US-MA	1.524	nesbox	NW-ag	NW-ag	NW_2020	f6								07JUN2020:11:53:51.000000	0						cn	pm	no							
S70338765		grycat				A1399693	1	USER1088235	L7605256	42.257728	-71.269511	US-MA	1.524	nesbox	NW-ag	NW-ag	NW_2020	f6								11JUN2020:00:00:00.000000	0						cn		no							
S70477660		grycat				A1399693	1	USER1088235	L7605256	42.257728	-71.269511	US-MA	1.524	nesbox	NW-ag	NW-ag	NW_2020	f6								15JUN2020:17:21:43.000000	0		0		0		no		no	no						
S69816160	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/27/0566C119-D7DF-4B9C.jpeg	grycat	u	s		A1399796	2	USER467984	L11579038	39.787173	-75.670946	US-DE	1.2192	other	NW-ry	NW-ry	NW_2020	s1	29MAY2020:00:00:00.000000	14JUN2020:00:00:00.000000	24JUN2020:00:00:00.000000	4	4	1	0	27MAY2020:00:00:00.000000	0		0		0		cn	no	no	no	0		0		0	
S69816187	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/29/1CE2B171-12C9-42A5.jpeg	grycat	y	t	o	A1399796	2	USER467984	L11579038	39.787173	-75.670946	US-DE	1.2192	other	NW-ry	NW-ry	NW_2020	s1	29MAY2020:00:00:00.000000	14JUN2020:00:00:00.000000	24JUN2020:00:00:00.000000	4	4	1	0	29MAY2020:00:00:00.000000	1		0		0		cn	no		no	0		0		0	
S69965937		grycat				A1399796	2	USER467984	L11579038	39.787173	-75.670946	US-DE	1.2192	other	NW-ry	NW-ry	NW_2020	s1	29MAY2020:00:00:00.000000	14JUN2020:00:00:00.000000	24JUN2020:00:00:00.000000	4	4	1	0	01JUN2020:00:00:00.000000	4		0		0		cn	no	no	no	0		0		0	
S70311095		grycat				A1399796	2	USER467984	L11579038	39.787173	-75.670946	US-DE	1.2192	other	NW-ry	NW-ry	NW_2020	s1	29MAY2020:00:00:00.000000	14JUN2020:00:00:00.000000	24JUN2020:00:00:00.000000	4	4	1	0	04JUN2020:00:00:00.000000	4		0		0		cn	no		no	0		0		0	
S70312348		grycat				A1399796	2	USER467984	L11579038	39.787173	-75.670946	US-DE	1.2192	other	NW-ry	NW-ry	NW_2020	s1	29MAY2020:00:00:00.000000	14JUN2020:00:00:00.000000	24JUN2020:00:00:00.000000	4	4	1	0	09JUN2020:00:00:00.000000	4		0		0		cn	no		no	0		0		0	
S70441413		grycat				A1399796	2	USER467984	L11579038	39.787173	-75.670946	US-DE	1.2192	other	NW-ry	NW-ry	NW_2020	s1	29MAY2020:00:00:00.000000	14JUN2020:00:00:00.000000	24JUN2020:00:00:00.000000	4	4	1	0	14JUN2020:00:00:00.000000	0		4		0		cn	no		hy	0		0		0	
S70599740		grycat				A1399796	2	USER467984	L11579038	39.787173	-75.670946	US-DE	1.2192	other	NW-ry	NW-ry	NW_2020	s1	29MAY2020:00:00:00.000000	14JUN2020:00:00:00.000000	24JUN2020:00:00:00.000000	4	4	1	0	19JUN2020:00:00:00.000000	0		3		0		cn	no	va	py	0		0		0	
S70686525		grycat				A1399796	2	USER467984	L11579038	39.787173	-75.670946	US-DE	1.2192	other	NW-ry	NW-ry	NW_2020	s1	29MAY2020:00:00:00.000000	14JUN2020:00:00:00.000000	24JUN2020:00:00:00.000000	4	4	1	0	21JUN2020:00:00:00.000000	0		1		2		cn	pm	va	py	0		0		0	
S70782529		grycat				A1399796	2	USER467984	L11579038	39.787173	-75.670946	US-DE	1.2192	other	NW-ry	NW-ry	NW_2020	s1	29MAY2020:00:00:00.000000	14JUN2020:00:00:00.000000	24JUN2020:00:00:00.000000	4	4	1	0	24JUN2020:00:00:00.000000	0		0		0		cn	no	va	no	0		0		0	
S69952961		grycat				A1400341	1	USER1133085	L11603825	44.302796	-73.092232	US-VT	1.524	busshr			NW_2020	s1				3	3	3	0	31MAY2020:00:00:00.000000	3		0		0		cn	no	va							
S70057830		grycat				A1400341	1	USER1133085	L11603825	44.302796	-73.092232	US-VT	1.524	busshr			NW_2020	s1				3	3	3	0	04JUN2020:18:10:47.000000	3	3	0		0			no	va							
S70223802		grycat				A1400341	1	USER1133085	L11603825	44.302796	-73.092232	US-VT	1.524	busshr			NW_2020	s1				3	3	3	0	08JUN2020:20:50:03.000000	3		0		0			no	va							
S70389077		grycat				A1400341	1	USER1133085	L11603825	44.302796	-73.092232	US-VT	1.524	busshr			NW_2020	s1				3	3	3	0	13JUN2020:14:04:03.000000	0		3		0			no	aa	ny						
S70611944	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/19/agns4o.jpg	grycat	n	t/s		A1400341	1	USER1133085	L11603825	44.302796	-73.092232	US-VT	1.524	busshr			NW_2020	s1				3	3	3	0	19JUN2020:19:10:28.000000	0		3		0			no	va	fy						
S70880100		grycat				A1400341	1	USER1133085	L11603825	44.302796	-73.092232	US-VT	1.524	busshr			NW_2020	s1				3	3	3	0	27JUN2020:13:38:26.000000	0		0		0			no								
S70087513		grycat				A1401213	2	USER27971	L11627820	39.122005	-76.834811	US-MD	1.6002	busshr	NW-ry	NW-ry	NW_2020	f2		23MAY2020:00:00:00.000000			3	0	0	27MAY2020:00:00:00.000000	0		3		0		cn	no	va	ny	0		0		0	
S70087554	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/03/FREAS36-3-20.jpeg	grycat	y	t	l	A1401213	2	USER27971	L11627820	39.122005	-76.834811	US-MD	1.6002	busshr	NW-ry	NW-ry	NW_2020	f2		23MAY2020:00:00:00.000000			3	0	0	03JUN2020:00:00:00.000000	0		3		0		cn	no	va	py	0		0		0	
S70782368	https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/07/4C18956C-196B-40D7.jpeg	grycat	y	t	o/l	A1401213	2	USER27971	L11627820	39.122005	-76.834811	US-MD	1.6002	busshr	NW-ry	NW-ry	NW_2020	f2		23MAY2020:00:00:00.000000			3	0	0	07JUN2020:00:00:00.000000	0		0		0		cn	no	va	no	0		0		0	
