image_path,row,col,sub_id,url,has_plastic_initial,notes
S57821508_DSCF2447.png,11,A,S57821508,"https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/30/DSCF2451.jpg, https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/06/30/DSCF2447.png","n, u","Original: n, u (y=Yes, n=No, u=Unsure)"
S58105034_DSCF2681.jpg,12,A,S58105034,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/07/11/DSCF2681.jpg,y,"Original: y (y=Yes, n=No, u=Unsure)"
S58179320_DSCF2760.jpg,13,A,S58179320,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2019/07/14/DSCF2760.jpg,y,"Original: y (y=Yes, n=No, u=Unsure)"
S68348457_20200503172325.jpg,14,A,S68348457,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/03/20200503172325.jpg,y,"Original: y (y=Yes, n=No, u=Unsure)"
S68548742_0U0A0995.JPG,15,A,S68548742,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/07/0U0A0995.JPG,n,"Original: n (y=Yes, n=No, u=Unsure)"
S68704342_IMG-9197.jpg,16,A,S68704342,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/09/IMG-9197.jpg,y,"Original: y (y=Yes, n=No, u=Unsure)"
S69305741_fskr21.jpg,17,A,S69305741,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/18/fskr21.jpg,u,"Original: u (y=Yes, n=No, u=Unsure)"
S69430072_gkpuof.jpg,18,A,S69430072,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/21/gkpuof.jpg,y,"Original: y (y=Yes, n=No, u=Unsure)"
S69573612_2n5u2v.jpg,19,A,S69573612,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/24/2n5u2v.jpg,y,"Original: y (y=Yes, n=No, u=Unsure)"
S69770991_bre8nc.jpg,20,A,S69770991,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/28/bre8nc.jpg,y,"Original: y (y=Yes, n=No, u=Unsure)"
S69994141_himvb7.jpg,21,A,S69994141,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/02/himvb7.jpg,y,"Original: y (y=Yes, n=No, u=Unsure)"
S70593370_iur4u3.jpg,22,A,S70593370,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/18/iur4u3.jpg,y,"Original: y (y=Yes, n=No, u=Unsure)"
S69752193_20200517163956.jpg,23,A,S69752193,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/17/20200517163956.jpg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S69752243_20200520155915.jpg,24,A,S69752243,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/20/20200520155915.jpg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S69752244_20200523131306.jpg,25,A,S69752244,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/23/20200523131306.jpg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S69752284_20200527141920.jpg,26,A,S69752284,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/27/20200527141920.jpg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S70256068_20200530163605.jpg,27,A,S70256068,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/30/20200530163605.jpg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S70256098_20200602161546.jpg,28,A,S70256098,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/02/20200602161546.jpg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S69798516_ks44fl.jpg,29,A,S69798516,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/29/ks44fl.jpg,,"Original: nan (y=Yes, n=No, u=Unsure)"
S69816160_0566C119-D7DF-4B9C.jpeg,30,A,S69816160,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/27/0566C119-D7DF-4B9C.jpeg,u,"Original: u (y=Yes, n=No, u=Unsure)"
S69816187_1CE2B171-12C9-42A5.jpeg,31,A,S69816187,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/05/29/1CE2B171-12C9-42A5.jpeg,y,"Original: y (y=Yes, n=No, u=Unsure)"
S70611944_agns4o.jpg,32,A,S70611944,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/19/agns4o.jpg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S70087554_FREAS36-3-20.jpeg,33,A,S70087554,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/03/FREAS36-3-20.jpeg,y,"Original: y (y=Yes, n=No, u=Unsure)"
S70782368_4C18956C-196B-40D7.jpeg,34,A,S70782368,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/07/4C18956C-196B-40D7.jpeg,y,"Original: y (y=Yes, n=No, u=Unsure)"
S70123821_IMG5351.jpeg,35,A,S70123821,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/05/IMG5351.jpeg,u,"Original: u (y=Yes, n=No, u=Unsure)"
S70134200_IMG5356.jpeg,36,A,S70134200,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/06/IMG5356.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S70205063_IMG5362.jpeg,37,A,S70205063,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/08/IMG5362.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S70312664_IMG5365.jpeg,38,A,S70312664,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/11/IMG5365.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S70775647_B0095F43-E437-495C.jpeg,39,A,S70775647,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2020/06/24/B0095F43-E437-495C.jpeg,y,"Original: y (y=Yes, n=No, u=Unsure)"
S88979988__l2pprr.jpeg,40,A,S88979988,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2021/05/25/_l2pprr.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S89078439__60fsvo.jpeg,41,A,S89078439,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2021/05/27/_60fsvo.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S89188469__9gtm8e.jpeg,42,A,S89188469,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2021/05/29/_9gtm8e.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S90302197__cdgsba.jpeg,43,A,S90302197,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2021/06/16/_cdgsba.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S90401144__ro1fns.jpeg,44,A,S90401144,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2021/06/18/_ro1fns.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S91101257__35jlme.jpeg,45,A,S91101257,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2021/07/01/_35jlme.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S91439482__avn83d.jpeg,46,A,S91439482,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2021/07/08/_avn83d.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S91679689__n90sqr.jpeg,47,A,S91679689,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2021/07/12/_n90sqr.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S91767642__lc6758.jpeg,48,A,S91767642,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2021/07/14/_lc6758.jpeg,n,"Original: n (y=Yes, n=No, u=Unsure)"
S90859501__b1toqs.jpeg,49,A,S90859501,https://citsci-nw-data-prod.s3.amazonaws.com/photos/visits/2021/06/27/_b1toqs.jpeg,y,"Original: y (y=Yes, n=No, u=Unsure)"
